Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.944882,0.916031,0.930233,262
disgust,0.901961,0.920000,0.910891,200
fear,0.979381,0.950000,0.964467,200
happy,0.923954,0.931034,0.927481,261
neutral,0.972441,0.991968,0.982107,249
sad,0.936803,0.965517,0.950943,261
surprise,0.929688,0.911877,0.920696,261
Accuracy,0,0,0.940968,1694
Macro_F1,0.941301,0.940918,0.940974,1694
Weighted_F2,0.941128,0.940968,0.940914,1694
