Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.714286,0.416667,0.526316,12
disgust,0.500000,0.416667,0.454545,12
fear,0.428571,0.500000,0.461538,12
happy,0.454545,0.416667,0.434783,12
neutral,0.851852,0.958333,0.901961,24
sad,0.642857,0.750000,0.692308,12
surprise,0.384615,0.416667,0.400000,12
Accuracy,0,0,0.604167,96
Macro_F1,0.568104,0.553571,0.553064,96
Weighted_F2,0.603572,0.604167,0.596676,96
