Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.918660,0.960000,0.938875,200
disgust,0.908163,0.890000,0.898990,200
fear,0.964646,0.955000,0.959799,200
happy,0.974490,0.955000,0.964646,200
neutral,0.985149,0.995000,0.990050,200
sad,0.955882,0.975000,0.965347,200
surprise,0.943590,0.920000,0.931646,200
Accuracy,0,0,0.950000,1400
Macro_F1,0.950083,0.950000,0.949908,1400
Weighted_F2,0.950083,0.950000,0.949908,1400
