Emotion_Class,Precision,Recall,F1_Score,Support
angry,1.000000,1.000000,1.000000,80
disgust,1.000000,0.987500,0.993711,80
fear,1.000000,1.000000,1.000000,80
happy,1.000000,1.000000,1.000000,80
neutral,1.000000,0.987500,0.993711,80
sad,0.987654,1.000000,0.993789,80
surprise,0.987654,1.000000,0.993789,80
Accuracy,0,0,0.996429,560
Macro_F1,0.996473,0.996429,0.996428,560
Weighted_F2,0.996473,0.996429,0.996428,560
