Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.825175,0.921875,0.870849,384
disgust,0.862170,0.765625,0.811034,384
fear,0.714660,0.710938,0.712794,384
happy,0.821522,0.810881,0.816167,386
neutral,0.859259,0.915789,0.886624,380
sad,0.734417,0.705729,0.719788,384
surprise,0.968254,0.931298,0.949416,131
Accuracy,0,0,0.811755,2433
Macro_F1,0.826494,0.823162,0.823810,2433
Weighted_F2,0.811695,0.811755,0.810639,2433
