Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.948718,0.973684,0.961039,38
disgust,0.948718,0.973684,0.961039,38
fear,0.711111,0.842105,0.771084,38
happy,1.000000,0.743590,0.852941,39
neutral,0.904762,0.982759,0.942149,58
sad,0.828571,0.763158,0.794521,38
surprise,0.973684,0.948718,0.961039,39
Accuracy,0.895833,288
Macro_F1,0.902224,0.889671,0.891973,288
Weighted_F2,0.902987,0.895833,0.895562,288
