Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.873016,0.887097,0.880000,62
happy,0.852459,0.852459,0.852459,61
neutral,0.880000,0.897959,0.888889,49
sad,0.883333,0.868852,0.876033,61
surprise,0.883333,0.868852,0.876033,61
Accuracy,0,0,0.874150,294
Macro_F1,0.874428,0.875044,0.874683,294
Weighted_F2,0.874196,0.874150,0.874121,294
