Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.823009,0.732283,0.775000,254
disgust,0.679842,0.677165,0.678501,254
fear,0.664032,0.661417,0.662722,254
happy,0.681818,0.764706,0.720887,255
neutral,0.687023,0.825688,0.750000,218
sad,0.669856,0.551181,0.604752,254
Accuracy,0,0,0.699127,1489
Macro_F1,0.700930,0.702074,0.698644,1489
Weighted_F2,0.701253,0.699127,0.697417,1489
