Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.889065,0.868421,0.878622,646
disgust,0.859964,0.820205,0.839614,584
fear,0.794613,0.808219,0.801358,584
happy,0.867488,0.870170,0.868827,647
neutral,0.893519,0.920509,0.906813,629
sad,0.800905,0.823256,0.811927,645
surprise,0.947785,0.937402,0.942565,639
Accuracy,0,0,0.865112,4374
Macro_F1,0.864763,0.864026,0.864247,4374
Weighted_F2,0.865596,0.865112,0.865209,4374
