Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.868852,0.854839,0.861789,62
happy,0.787879,0.852459,0.818898,61
neutral,0.844444,0.775510,0.808511,49
sad,0.758065,0.770492,0.764228,61
surprise,0.866667,0.852459,0.859504,61
Accuracy,0,0,0.823129,294
Macro_F1,0.825181,0.821152,0.822586,294
Weighted_F2,0.824544,0.823129,0.823294,294
