Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.916667,0.916667,0.916667,12
disgust,0.769231,0.833333,0.800000,12
fear,0.750000,0.500000,0.600000,12
happy,0.526316,0.833333,0.645161,12
neutral,0.923077,1.000000,0.960000,24
sad,1.000000,0.750000,0.857143,12
surprise,0.555556,0.416667,0.476190,12
Accuracy,0,0,0.781250,96
Macro_F1,0.777264,0.750000,0.750737,96
Weighted_F2,0.795490,0.781250,0.776895,96
