Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.763441,0.838583,0.799250,254
disgust,0.710084,0.665354,0.686992,254
fear,0.682403,0.625984,0.652977,254
happy,0.811966,0.745098,0.777096,255
neutral,0.786364,0.793578,0.789954,218
sad,0.617544,0.692913,0.653061,254
Accuracy,0,0,0.725319,1489
Macro_F1,0.728634,0.726918,0.726555,1489
Weighted_F2,0.727294,0.725319,0.725056,1489
