Emotion_Class,Precision,Recall,F1_Score,Support
angry,0.885714,0.815789,0.849315,38
disgust,0.850000,0.894737,0.871795,38
fear,0.687500,0.578947,0.628571,38
happy,0.727273,0.615385,0.666667,39
neutral,0.841270,0.913793,0.876033,58
sad,0.464286,0.684211,0.553191,38
surprise,0.965517,0.717949,0.823529,39
Accuracy,0,0,0.756944,288
Macro_F1,0.774509,0.745830,0.752729,288
Weighted_F2,0.779644,0.756944,0.761239,288
