mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__early_stopping,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__learning_rate_init,param_clf__max_iter,param_clf__n_iter_no_change,param_clf__shuffle,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
166.0081268787384,4.274868076885997,0.011176681518554688,0.0019712248491126267,relu,False,"(2048,)",adaptive,0.0001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (2048,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.48404946071996663,0.5123320289711856,0.5131107475976948,0.5408599904766295,0.4933459135341079,0.5087396282599169,0.019546357830954795,1,0.9790525736287239,0.9662239797973331,0.972304050634697,0.9837651184271078,0.9790393013125356,0.9760770047600793,0.006132757723286158
74.90034656524658,2.1375673983116177,0.005767536163330078,0.0005825739592766514,relu,False,"(1024,)",invscaling,0.0001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (1024,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.5088868040942559,0.5114699748810182,0.5359165101743568,0.5130923868440349,0.4710538747413994,0.508083910147013,0.020895320329303874,2,0.9539671386296251,0.9615220514939641,0.9519712400541888,0.9695795904717798,0.9587962520604081,0.9591672545419933,0.006211654868903023
68.89105043411254,2.506824846964225,0.01290273666381836,0.001320985009622632,relu,False,"(2048,)",adaptive,0.001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (2048,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.47889528205975507,0.5228551041089935,0.5351569517755793,0.5401558107234458,0.45388658928160125,0.5061899475898749,0.03391499576421786,3,0.9695684728273865,0.9723241136721853,0.9783975714987311,0.977046574793993,0.9743654453746016,0.9743404356333795,0.003181865784305156
40.95038175582886,0.6528190925083501,0.006569766998291015,0.00017208745847451052,relu,False,"(1024,)",invscaling,0.001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (1024,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.48144537810320986,0.5290229951147566,0.5171521246984775,0.5465915033205591,0.45455434663388133,0.5057532695741769,0.03332080028574789,4,0.9763314024027372,0.9716229970720063,0.9749872255133631,0.9803973588022891,0.9817684202658693,0.977021480811253,0.003679348200590929
74.29791293144226,2.585225152730786,0.0054166316986083984,0.0004938142738887215,relu,False,"(1024,)",constant,0.0001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (1024,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.0001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.46845684622640194,0.5191590476114164,0.5141030213819241,0.5222514812077848,0.49980113068747867,0.5047543054230013,0.019713374810662692,5,0.9499526915167212,0.9473255193915578,0.9634274577218601,0.9628928376468824,0.9689582109470423,0.9585113434448129,0.008377062661977627
41.42852993011475,1.5598285735603912,0.007112360000610352,0.0008131149589947511,relu,False,"(1024,)",constant,0.001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (1024,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.46944366701304807,0.5053862970770839,0.5305798925290255,0.5405680294417133,0.4758444848619123,0.5043644741845567,0.02839662747134116,6,0.9790451714796037,0.9709629981248146,0.9689253440953095,0.973008197677824,0.9783565565364726,0.9740596535828049,0.004009357358768229
77.10030827522277,3.3563473528808476,0.007181739807128907,0.0012356941755843481,relu,False,"(256, 512, 256)",adaptive,0.0001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (256, 512, 256), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.0001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.4723564687685334,0.5054286151232045,0.5456046904006933,0.5091721387638265,0.48521801335113596,0.5035559852814787,0.024951282812006505,7,0.9797272140327392,0.9655145394446905,0.9729896291906049,0.9810774347073995,0.9742918211867723,0.9747201277124413,0.005539082823291586
9.649646472930907,0.6679781151921504,0.0069424152374267575,0.0004459050741840223,relu,True,"(256, 512, 256)",adaptive,0.001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': True, 'clf__hidden_layer_sizes': (256, 512, 256), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.4879558816158086,0.5107659741729464,0.5228020898811974,0.5050480884618532,0.48991180384102323,0.5032967675945658,0.01306762263376904,8,0.9506666281797906,0.9156506472503871,0.9329792593286999,0.9392155750000781,0.9465162040152406,0.9370056627548393,0.012281731924159458
163.65987973213197,2.8542365429157868,0.010698938369750976,0.0008888156705224982,relu,False,"(2048,)",invscaling,0.0001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (2048,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.0001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.500275561824348,0.49469540589158645,0.5126270845482664,0.5223215900384539,0.48526222461087154,0.5030363733827052,0.013092100716327562,9,0.9743170910965254,0.962800694095926,0.9682648972424431,0.98311406421664,0.9810888051554968,0.9739171103614062,0.007638054395629368
73.35846614837646,4.581799853842687,0.012788105010986327,0.00099572097527026,relu,False,"(2048,)",invscaling,0.001,1000,20,True,"{'clf__activation': 'relu', 'clf__early_stopping': False, 'clf__hidden_layer_sizes': (2048,), 'clf__learning_rate': 'invscaling', 'clf__learning_rate_init': 0.001, 'clf__max_iter': 1000, 'clf__n_iter_no_change': 20, 'clf__shuffle': True}",0.46950486084418963,0.5182173316192678,0.5267474824807028,0.5483056615647366,0.4506668544516378,0.5026884381921068,0.03662870511457641,10,0.9722618304398175,0.9749807167085058,0.9709685515842459,0.9723661487045944,0.9716525125755575,0.9724459520025442,0.001362171762377884
