,dataset,model,size,dropout,opt,lr,accuracy,f1_weighted
73,ravdess,yamnet,2048,0.5,adam,0.0001,0.3903177004538578,0.35065530705518755
74,ravdess,yamnet,4096,0.0,adam,1e-05,0.39107413010590014,0.3882452764357003
75,ravdess,yamnet,2048,0.0,adam,0.001,0.3615733736762481,0.3348006473009972
76,ravdess,yamnet,2048,0.0,adamax,0.0001,0.39863842662632376,0.3932249294383436
77,ravdess,yamnet,2048,0.0,adam,0.0001,0.3903177004538578,0.35298123276525595
78,ravdess,yamnet,2048,0.5,adam,1e-05,0.39863842662632376,0.38120699875875275
79,ravdess,yamnet,4096,0.2,adam,0.001,0.3789712556732224,0.36130936492891047
80,ravdess,yamnet,2048,0.2,adamax,0.001,0.40242057488653554,0.3787590633930741
81,ravdess,yamnet,2048,0.2,adam,0.001,0.3630862329803328,0.32413547401631887
82,ravdess,yamnet,4096,0.2,adamax,0.0001,0.39334341906202724,0.38111509865604787
83,ravdess,yamnet,4096,0.5,adamax,1e-05,0.3978819969742814,0.3852050108431392
84,savee,vggish,1024,0.5,adamax,0.0001,0.45695364238410596,0.4525558410804368
85,savee,vggish,1024,0.2,adamax,1e-05,0.45364238410596025,0.45180524374209385
86,savee,vggish,1024,0.0,adamax,0.001,0.44039735099337746,0.4306020268231961
87,savee,vggish,2048,0.0,adamax,0.0001,0.4602649006622517,0.4634502638301564
88,savee,vggish,1024,0.5,adamax,0.0001,0.423841059602649,0.42501214640546264
89,savee,vggish,512,0.2,adam,0.001,0.44370860927152317,0.4149188817986628
90,savee,vggish,2048,0.0,adamax,0.0001,0.45364238410596025,0.4529184669579617
91,savee,vggish,1024,0.5,adam,0.001,0.48013245033112584,0.4264566700031771
92,savee,vggish,2048,0.0,adam,1e-05,0.44370860927152317,0.44386238446161264
93,savee,vggish,2048,0.5,adamax,1e-05,0.45364238410596025,0.4466571279362617
94,savee,vggish,2048,0.2,adam,0.001,0.4337748344370861,0.42548058472512307
95,savee,vggish,1024,0.0,adam,0.0001,0.44039735099337746,0.426698895381636
96,savee,vggish,2048,0.5,adamax,0.001,0.4370860927152318,0.429802854238457
97,savee,vggish,512,0.5,adamax,1e-05,0.44039735099337746,0.4420749297173759
98,savee,vggish,1024,0.0,adamax,0.001,0.44039735099337746,0.42852795301425617
99,savee,vggish,512,0.0,adam,0.001,0.3675496688741722,0.34998209816950904
100,savee,vggish,1024,0.5,adam,0.0001,0.44039735099337746,0.43207873818190523
101,savee,vggish,1024,0.2,adam,0.001,0.4105960264900662,0.4104209018838996
102,savee,vggish,1024,0.5,adam,0.0001,0.45364238410596025,0.44859639090981357
103,savee,vggish,512,0.0,adamax,1e-05,0.40397350993377484,0.4071166809790622
104,savee,vggish,512,0.0,adam,0.0001,0.4304635761589404,0.4243052856382442
105,savee,vggish,512,0.5,adam,0.0001,0.4105960264900662,0.4071914244586506
106,savee,yamnet,1024,0.0,adamax,1e-05,0.3149062191510365,0.3212620114214205
107,savee,yamnet,1024,0.2,adamax,0.0001,0.35241855873642647,0.33555447843288017
108,savee,yamnet,1024,0.0,adam,0.0001,0.34945705824284307,0.328106936652388
109,savee,yamnet,1024,0.5,adamax,1e-05,0.33168805528134254,0.3230778319638171
110,savee,yamnet,2048,0.0,adam,1e-05,0.32773938795656465,0.33433909107577703
111,savee,yamnet,2048,0.5,adamax,1e-05,0.32773938795656465,0.3303627519399002
112,savee,yamnet,1024,0.2,adam,0.0001,0.33070088845014806,0.32557451462995785
113,savee,yamnet,512,0.0,adam,1e-05,0.32181638696939785,0.3243253037426267
114,savee,yamnet,2048,0.0,adam,0.001,0.3455083909180652,0.3405934743655327
115,savee,yamnet,1024,0.5,adamax,0.001,0.3435340572556762,0.33845695702615053
116,savee,yamnet,1024,0.2,adamax,0.001,0.3455083909180652,0.32814372181631285
117,savee,yamnet,512,0.2,adam,1e-05,0.3395853899308983,0.3440743636749428
118,savee,yamnet,1024,0.0,adamax,0.001,0.3405725567620928,0.31214967653053544
119,savee,yamnet,1024,0.5,adam,0.0001,0.3060217176702863,0.3080094400073247
120,savee,yamnet,512,0.5,adam,0.0001,0.351431391905232,0.34380038901608073
121,savee,yamnet,1024,0.5,adam,0.001,0.36031589338598224,0.363174376583259
122,savee,yamnet,2048,0.2,adamax,0.0001,0.3425468904244817,0.34420905494239595
123,savee,yamnet,1024,0.5,adamax,0.0001,0.3543928923988154,0.3534803423337917
124,savee,yamnet,512,0.0,adamax,1e-05,0.3425468904244817,0.34476681209035753
125,savee,yamnet,1024,0.2,adam,0.001,0.3109575518262586,0.28927929695901944
126,savee,yamnet,512,0.0,adam,0.001,0.3474827245804541,0.3414452076052804
127,savee,yamnet,2048,0.5,adamax,1e-05,0.32082922013820336,0.3150868978752643
128,crema,vggish,512,0.2,adam,0.001,0.38209285187914516,0.3607918836882188
129,crema,vggish,512,0.2,adamax,0.001,0.3780397936624908,0.35512807430551124
130,crema,vggish,2048,0.5,adamax,0.0001,0.3879882092851879,0.37294151038583584
131,crema,vggish,2048,0.0,adamax,0.001,0.3857774502579219,0.3749352607657225
132,crema,vggish,1024,0.0,adamax,0.001,0.3857774502579219,0.3768509746757984
133,crema,vggish,1024,0.5,adamax,0.001,0.38246131171702286,0.38085685754985665
134,crema,vggish,1024,0.2,adam,0.001,0.38393515106853354,0.37064001517788003
135,crema,vggish,512,0.5,adamax,0.0001,0.39793662490788506,0.38839914637908074
136,crema,vggish,2048,0.0,adamax,1e-05,0.3931466470154753,0.38064820609155037
137,crema,vggish,2048,0.5,adam,1e-05,0.38872512896094324,0.3832295212396617
138,crema,vggish,512,0.5,adam,1e-05,0.38761974944731026,0.3780690256691477
139,crema,vggish,512,0.5,adamax,0.0001,0.39793662490788506,0.39075349926790864
140,crema,vggish,1024,0.5,adam,0.0001,0.38909358879882094,0.3735145424946276
