,dataset,model,size,dropout,opt,lr,accuracy,f1_weighted
322,all_bn,yamnet,4096,0.2,adamax,0.001,0.3891640866873065,0.3712492430212002
323,all_bn,yamnet,4096,0.5,adam,0.0001,0.38421052631578945,0.35707048146154047
324,all_bn,yamnet,4096,0.2,adam,0.001,0.3764705882352941,0.35415474041643663
325,all_bn,yamnet,4096,0.5,adamax,1e-05,0.39442724458204337,0.38666649400383796
326,all_bn,yamnet,2048,0.2,adam,0.001,0.3816305469556244,0.37371543156913634
327,all_bn,yamnet,4096,0.0,adamax,0.0001,0.3830753353973168,0.3729972852176808
328,all,vggish,512,0.2,adamax,0.0001,0.4990825688073395,0.4956062223525812
329,all,vggish,1024,0.0,adam,1e-05,0.5007762879322513,0.49794558884146434
330,all,vggish,1024,0.5,adam,0.001,0.47974594213126326,0.4714174050124185
331,all,vggish,1024,0.0,adamax,0.001,0.4985179957657022,0.49978371440811503
332,all,vggish,2048,0.5,adam,0.001,0.4940014114326041,0.48083483135140104
333,all,vggish,1024,0.5,adamax,0.0001,0.5054340155257586,0.5011777727885474
334,all,vggish,1024,0.2,adamax,0.0001,0.5041637261820748,0.5002588428763017
335,all,vggish,1024,0.2,adam,0.001,0.49710656316160906,0.49351627349167065
336,all,vggish,512,0.2,adam,1e-05,0.5075511644318984,0.5030681662598236
337,all,vggish,1024,0.2,adam,1e-05,0.5038814396612562,0.49914269995116534
338,all,vggish,2048,0.2,adamax,1e-05,0.5010585744530699,0.4967824823605044
339,all,vggish,2048,0.0,adamax,0.0001,0.5052928722653494,0.49963397989798275
340,all,vggish,1024,0.2,adam,0.0001,0.5048694424841214,0.49440765166805695
341,all,vggish,1024,0.2,adamax,1e-05,0.49061397318278055,0.4852728882522821
342,all,vggish,1024,0.5,adam,0.0001,0.5086803105151729,0.5061122987605159
343,all,vggish,512,0.2,adamax,1e-05,0.4890613973182781,0.4841061355374615
344,all,vggish,512,0.0,adamax,0.001,0.5021877205363444,0.4976051113261843
345,all,vggish,2048,0.2,adam,0.0001,0.49992942836979537,0.4923964744241221
346,all,vggish,2048,0.2,adamax,0.0001,0.502470007057163,0.498286117287274
347,all,vggish,512,0.0,adam,0.001,0.48694424841213835,0.4753915439529032
348,all,vggish,2048,0.5,adam,0.001,0.49781227946365564,0.4851836677307513
349,all,vggish,1024,0.0,adam,0.0001,0.5037402964008468,0.49644408209866026
350,all,yamnet,2048,0.0,adam,0.0001,0.40039070618063927,0.393094600017546
351,all,yamnet,2048,0.5,adam,0.001,0.3966499023234548,0.38530695642932056
352,all,yamnet,4096,0.5,adam,0.001,0.38896047217257573,0.3776784273675622
353,all,yamnet,2048,0.5,adamax,0.001,0.3899164553805229,0.38097194775563753
354,all,yamnet,4096,0.0,adam,0.0001,0.3818113803566233,0.3705661256431018
355,all,yamnet,2048,0.2,adam,0.0001,0.397647450018704,0.39591723795115713
356,all,yamnet,4096,0.5,adamax,0.001,0.40022444823143105,0.39499036817559263
357,all,yamnet,4096,0.0,adamax,0.0001,0.3912880834614905,0.3840763946557674
358,all,yamnet,2048,0.0,adamax,0.001,0.3903736647408454,0.38090041195598445
359,all,yamnet,4096,0.0,adam,0.001,0.38970863294401265,0.3759949575518584
360,all,yamnet,2048,0.5,adamax,1e-05,0.3805228812502598,0.3754417337312053
361,all,yamnet,4096,0.2,adamax,0.0001,0.39307535641547864,0.3856671564406593
362,all,yamnet,4096,0.5,adamax,0.0001,0.3855937487011098,0.3710033713077606
363,all,yamnet,4096,0.2,adamax,0.001,0.402718317469554,0.39626486450393555
364,all,yamnet,4096,0.2,adamax,1e-05,0.3850118458788811,0.3803675686536001
365,all,yamnet,4096,0.2,adam,1e-05,0.38709007024398356,0.38382444776565255
366,all,yamnet,4096,0.5,adam,1e-05,0.38787979550272245,0.3831403165657907
367,all,yamnet,4096,0.5,adam,0.0001,0.3990606425869737,0.3936656175593255
